site,url,price,pension,score,date
VVF,https://www.vvf-villages.fr,N/A,False,❌ MOYEN,2026-06-06 11:12
VTF,https://www.vtf-vacances.com,123,True,🔥 EXCELLENTE OFFRE,2026-06-06 11:12
Miléade,https://www.mileade.com,N/A,False,❌ MOYEN,2026-06-06 11:12
